id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1944,cafeheaven Pberg/Mitte/Wed for the summer 2019,2164,Lulah,Mitte,Brunnenstr. Nord,52.54425,13.39749,Private room,21,120,18,2018-11-11,0.25,1,364
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Jan,Mitte,Brunnenstr. Süd,52.53454,13.40256,Entire home/apt,60,4,126,2019-07-04,3.18,4,0
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.535,13.41758,Entire home/apt,90,62,145,2019-06-27,1.18,1,279
3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49885,13.34906,Private room,28,7,27,2019-05-31,0.38,1,284
6883,Stylish East Side Loft in Center with AC & 2 bikes,16149,Steffen,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51171,13.45477,Entire home/apt,125,3,124,2018-10-18,1.08,1,0
7071,BrightRoom with sunny greenview!,17391,BrightRoom,Pankow,Helmholtzplatz,52.54316,13.41509,Private room,33,2,238,2019-06-26,1.98,2,64
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53303,13.41605,Entire home/apt,180,6,6,2018-07-23,0.13,1,84
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54785,13.40556,Entire home/apt,70,90,24,2019-07-01,0.22,4,241
16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51051,13.45785,Private room,120,30,0,,,1,365
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479,13.4351,Entire home/apt,90,60,48,2017-12-14,0.43,2,39
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,Neukölln,Reuterstraße,52.49548,13.42182,Entire home/apt,49,5,241,2019-07-08,2.11,1,249
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53695,13.40762,Entire home/apt,129,3,67,2019-06-22,0.81,1,121
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50273,13.43462,Entire home/apt,70,60,60,2016-06-05,0.56,2,39
22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49485,13.4285,Entire home/apt,98,3,73,2019-06-16,0.65,2,117
22677,Prenzel garden with leafy terrace (quiet Guests),87357,Ramfis,Mitte,Brunnenstr. Süd,52.53435,13.40558,Entire home/apt,160,2,263,2019-07-05,2.47,1,197
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971,13.37975,Entire home/apt,65,60,126,2019-06-24,1.14,1,192
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.53079,13.41808,Entire home/apt,90,3,18,2018-08-25,0.17,2,0
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.53026,13.41947,Entire home/apt,90,4,5,2016-08-14,0.05,2,245
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54406,13.42138,Entire home/apt,209,3,174,2019-07-03,1.61,1,312
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54672,13.40512,Entire home/apt,70,90,30,2019-04-15,0.29,4,237
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54179,13.42388,Entire home/apt,65,60,72,2019-05-31,0.67,3,254
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54597,13.42236,Entire home/apt,100,4,270,2019-06-30,2.51,4,231
31440,"Nice Room in Prenzlauerberg,",135046,Thomas,Pankow,Helmholtzplatz,52.54309,13.42245,Private room,42,1,34,2019-06-21,0.34,1,348
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.52142,13.35708,Entire home/apt,62,3,173,2019-07-02,1.60,1,74
35152,Private Room w/ own bath in Design Mitte Loft,151248,Flo,Mitte,Brunnenstr. Süd,52.53506,13.39699,Private room,50,2,8,2019-06-29,0.08,1,155
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51968,13.30209,Private room,40,1,40,2019-07-08,1.40,2,354
37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49339,13.36481,Private room,30,10,23,2019-02-25,0.21,1,319
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49847,13.44013,Private room,39,3,180,2019-06-23,1.65,2,95
38074,3 months min stay in the heart of Prenzlauer Berg!,163384,Alan & Kasia,Pankow,Prenzlauer Berg Süd,52.5368,13.42547,Entire home/apt,80,84,103,2019-04-28,0.96,9,256
38296,nice apartment to rent in Neukölln in September!,164310,Oliver,Neukölln,Schillerpromenade,52.48586,13.42362,Entire home/apt,80,10,6,2012-07-27,0.06,1,191
40600,room-artist loft berlin kreuzberg ,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48844,13.4206,Private room,50,3,50,2016-09-26,0.57,2,0
41217,Beautiful room in Prenzlauer Berg,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.53641,13.41231,Private room,43,2,70,2017-10-08,0.65,1,0
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.53028,13.42348,Private room,40,1,1,2014-09-26,0.02,1,0
42742,Spacious 35m2 in Central Apartment,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49667,13.44034,Private room,36,3,26,2019-01-03,0.30,2,247
42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51176,13.45536,Entire home/apt,119,4,131,2019-07-09,1.27,1,275
43123,Lux Berlin 1 - boutique & design,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.53946,13.40883,Entire home/apt,98,5,69,2019-06-01,0.65,2,280
44083,Riverside View Apartment,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.4904,13.44085,Private room,42,2,16,2019-06-01,0.15,1,313
44423,Lovely accommodation in Berlin,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50888,13.45636,Private room,56,2,105,2019-01-11,0.98,1,0
46161,Design-Room in Mitte/PrenzlauerBerg,201936,Giorgio,Pankow,Prenzlauer Berg Südwest,52.53254,13.40983,Private room,50,4,151,2018-03-11,1.49,2,0
46172,Chic Loft By Kastanienallee,206338,Heike,Mitte,Brunnenstr. Süd,52.53809,13.40536,Entire home/apt,48,60,38,2018-08-29,0.43,2,273
47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.53219,13.41988,Entire home/apt,169,3,39,2019-06-10,0.36,1,0
48955,Cozy studio in the heart of Berlin,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.53627,13.42081,Entire home/apt,70,4,0,,,1,163
52570,living in the heart of Berlin,243221,Mariam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.50031,13.44121,Entire home/apt,69,1,62,2018-09-12,0.58,2,318
52734,"LUMINOUS, LOFT LIKE APT IN F'HAIN",112446,Boris,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51121,13.45728,Entire home/apt,88,9,5,2016-10-21,0.06,1,191
54952,Riverfront Panorama,258697,Trent,Mitte,Alexanderplatz,52.52359,13.38741,Private room,60,4,170,2019-06-23,1.61,1,1
55298,Couch in Livingroom available,261030,Edna,Tempelhof - Schöneberg,Schöneberg-Nord,52.49838,13.34182,Shared room,88,2,0,,,1,365
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.5034,13.29203,Entire home/apt,55,60,12,2018-11-06,0.16,1,265
56357,BlissRoom with sunny greenview!,17391,BrightRoom,Pankow,Helmholtzplatz,52.54251,13.41718,Private room,33,2,228,2019-07-03,2.16,2,60
