,id,name,summary,space,description,host_id,host_name,host_location,host_about,host_is_superhost,neighbourhood_group_cleansed,city,state,zipcode,market,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price
3,17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),,"- beautiful studio apt in downtown Berlin - bright, scenic view on river - swans and boats pass by - 3 min to walk to subway station Kottbusser Tor - full size loft bed (sleeps 2), comfortable sleeper-couch  - sheets and towels provided - shower bathroom, maisonette kitchen w. fridge, stove and coffee maker - close to everything; lots of nightlife; coffee shops and restaurants abound - WiFi (16MB), stereo, tv About the location:   Kreuzberg is a Bohemian part of town, similar to the East Village in NYC. It's very colorful and you will meet people from all around the globe just stepping out the door. Maybachufer is one of the most sought after locations in Kreuzberg since it has a scenic view on a river (Landwehrkanal).  The area is a shopping paradise, you'll find anything from brand new to used to vintage at your fingertips. There is also a huge fruit market (all about half price compared to a supermarket) held twice a week and a flea market held once a week.","- beautiful studio apt in downtown Berlin - bright, scenic view on river - swans and boats pass by - 3 min to walk to subway station Kottbusser Tor - full size loft bed (sleeps 2), comfortable sleeper-couch  - sheets and towels provided - shower bathroom, maisonette kitchen w. fridge, stove and coffee maker - close to everything; lots of nightlife; coffee shops and restaurants abound - WiFi (16MB), stereo, tv About the location:   Kreuzberg is a Bohemian part of town, similar to the East Village in NYC. It's very colorful and you will meet people from all around the globe just stepping out the door. Maybachufer is one of the most sought after locations in Kreuzberg since it has a scenic view on a river (Landwehrkanal).  The area is a shopping paradise, you'll find anything from brand new to used to vintage at your fingertips. There is also a huge fruit market (all about half price compared to a supermarket) held twice a week and a flea market held once a week.",68997,Matthias,"Rio de Janeiro, Rio de Janeiro, Brazil","I  am a  journalist/writer. Lived for 15 years in NYC. I  am now based in Rio,  writing novels. Available on AMAZ0N: ""Wild Years in West Berlin"" and ""Free Lunch in New York City.""",t,Neukölln,Berlin,,12047,Berlin,52.49548000000001,13.42182,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",,49.0
32,127708,Design Jewel in the midst of MITTE!,"Welcome to my nice little apartment I am renting as a superhost since 2011. I just entirely renewed the decoration, I am sure you'll love it! It is situated in the very heart of the heart of this facinating city! As your neighbor, I will be able to answer personally any wishes or questions! See u soon! Stéphanie","Hackescher Markt: The ""place to be"" in Berlin!  NEW DESIGN 2019!!! I entirely renewed the decoration of my cosy apartment, sure you will love it! Very nice, full furnished designer apartment in the heart of Berlin MITTE, between Alexanderplatz and the well-known Hackesche Höfe, in the ""WEINMEISTERSTRAßE"".  MORE MITTE IS IMPOSSIBLE! ;-) The Hackeschen Höfe, the Alexanderplatz, the Museum Island and Unter den Linden within walking distance!! The flat is 35 sqm and is part of a 150 sqm private loft but separated from it (it will be yours). It is a so called ""Altbau"", that means an old Berlin house (see picture of the building front), with a garden for joint use (see picture).  DESCRIPTION A modern design small bathroom with design mosaic flags and a wide shower with massage shower, floor heating. A nice bedroom with a bed for two persons and a garderobe. A modern kitchen access with everything you need, as well as dishwasher and washing machine (built-in appliances) with a bar table and c","Welcome to my nice little apartment I am renting as a superhost since 2011. I just entirely renewed the decoration, I am sure you'll love it! It is situated in the very heart of the heart of this facinating city! As your neighbor, I will be able to answer personally any wishes or questions! See u soon! Stéphanie Hackescher Markt: The ""place to be"" in Berlin!  NEW DESIGN 2019!!! I entirely renewed the decoration of my cosy apartment, sure you will love it! Very nice, full furnished designer apartment in the heart of Berlin MITTE, between Alexanderplatz and the well-known Hackesche Höfe, in the ""WEINMEISTERSTRAßE"".  MORE MITTE IS IMPOSSIBLE! ;-) The Hackeschen Höfe, the Alexanderplatz, the Museum Island and Unter den Linden within walking distance!! The flat is 35 sqm and is part of a 150 sqm private loft but separated from it (it will be yours). It is a so called ""Altbau"", that means an old Berlin house (see picture of the building front), with a garden for joint use (see picture).  DES",632174,Stéphanie,"Berlin, Berlin, Germany","Hello! I'm french, 40 years old and live in Berlin with my German husband, my daughter, who is 9 years old, my son, 7 years old, my second daughter, 3 years old and my baby boy, 5 months old! I would be glad to welcome you soon in the midst of Berlin Mitte, one of the most wanted area of the German capital!
Cheers!
Stéphanie",t,Mitte,Berlin,Berlin,10178,Berlin,52.51965,13.41099,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Pets allowed"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Baby monitor"",""Window guards"",""Babysitter recommendations"",Crib,""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,89.0
63,196285,Studio-apt Kreuzberg: central/cozy,,"This apartment is 38 square meter big and it has everything that one needs to be to comfortable. A double bed (1,40x2,00), a simple equipped kitchen, a bath with shower and a whole ton of charm. You rent the whole apartment.  The dwelling lies in the area Kreuzberg, with its innumerable cafes, bars and designer shops, all conveniently within strolling distance. Kreuzberg lies very central actually. Three subway stations (Kottbusser Tor, Goerlitzer Bahnhof, Schoenleinstrasse) in walking distance serve the lines U8 (north/south) and U1 (east/west). So reaching other interesting areas (for example Friedrichshain in 5 min., Prenzlauer Berg in 18 min.) or well-known places (for example Alexanderplatz in 6 min., Potsdamer Platz in 11 min.) from here is fast and uncomplicated. Directly at the next junction is a bacery as well as an excellent organic supermarket which has all the green products one may require. The next grocery discounter is just five minutes away.  Enjoy peaceful sundays stro","This apartment is 38 square meter big and it has everything that one needs to be to comfortable. A double bed (1,40x2,00), a simple equipped kitchen, a bath with shower and a whole ton of charm. You rent the whole apartment.  The dwelling lies in the area Kreuzberg, with its innumerable cafes, bars and designer shops, all conveniently within strolling distance. Kreuzberg lies very central actually. Three subway stations (Kottbusser Tor, Goerlitzer Bahnhof, Schoenleinstrasse) in walking distance serve the lines U8 (north/south) and U1 (east/west). So reaching other interesting areas (for example Friedrichshain in 5 min., Prenzlauer Berg in 18 min.) or well-known places (for example Alexanderplatz in 6 min., Potsdamer Platz in 11 min.) from here is fast and uncomplicated. Directly at the next junction is a bacery as well as an excellent organic supermarket which has all the green products one may require. The next grocery discounter is just five minutes away.  Enjoy peaceful sundays stro",955509,Karsten,"Berlin, Berlin, Germany","We like design, architecture and furnitures and after all we're a gatherer. And of course we like meeting people from all over the world.

Over time our own place was getting more and more crowded with flea market finds and design classics. So renting apartments seemed to be a good idea to get more space and to combine our interests...

If you are kind, respectful to my property and to the tenants privacy (no parties!) we're more than happy to welcome you in one of our two apartments and give you individual recommendations!",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10999,Berlin,52.4969,13.42348,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,""Fire extinguisher"",Essentials,Shampoo}",,50.0
65,206454,Hot Spot Berlin-Mitte apartment!,,"Charming and sunny apartment located in Berlin-Mitte, between Kastanienallee and Weinbergspark. Right in the middle but still quite quiet. Restaurants, cafés and bars are just a footprint away. The apartment has a bedroom with kingsize boxspring bed (160 x 200 cm), a living room with a fully equipped american kitchen (including fridge, espresso machine, dishes etc.) and a tiled bathroom with bathtub. The nice balcony is heading south, perfect to relax, have dinner or just to enjoy the sunset. The appartment is fully furnished (with LCD-TV, washing machine, dish washer, heating, oven...) It’s perfect for a couple, but also for a single or two friends. The size is approx. about 60 qm in size and it’s on the 3rd floor with a lift.  Tram, bus and U-bahn (tube / subway) (station: Rosenthaler Platz U8) stops are just a few minutes walk away. Wireless internet is also available. Towels and linen are provided, of course.","Charming and sunny apartment located in Berlin-Mitte, between Kastanienallee and Weinbergspark. Right in the middle but still quite quiet. Restaurants, cafés and bars are just a footprint away. The apartment has a bedroom with kingsize boxspring bed (160 x 200 cm), a living room with a fully equipped american kitchen (including fridge, espresso machine, dishes etc.) and a tiled bathroom with bathtub. The nice balcony is heading south, perfect to relax, have dinner or just to enjoy the sunset. The appartment is fully furnished (with LCD-TV, washing machine, dish washer, heating, oven...) It’s perfect for a couple, but also for a single or two friends. The size is approx. about 60 qm in size and it’s on the 3rd floor with a lift.  Tram, bus and U-bahn (tube / subway) (station: Rosenthaler Platz U8) stops are just a few minutes walk away. Wireless internet is also available. Towels and linen are provided, of course.",358915,Diana,"Berlin, Berlin, Germany","Travel, music, great people and a lovely place to stay. All I need.  You too? ",t,Mitte,Berlin,Berlin,10119,Berlin,52.532030000000006,13.400970000000001,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",Elevator,""Buzzer/wireless intercom"",Heating,Washer,Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}",,70.0
69,214784,Charming Room in a beautiful flat,"The Flat is located on the 3rd floor in a typical old Berlin Townhouse in the area called Kreuzberg/Neukölln, a lively area with a lot of small bars, cafes, artgallerys and shopping opportunities. Even so it´s located in a lively area the flat itself has a relaxed and tranquil atmosphere.","The Flat is located on the 3rd floor in a typical old Berlin Townhouse in the area called Kreuzberg/Neukölln, a lively area with a lot of small bars, cafes, artgallerys and shopping opportunities. The apartment is bright and sunny, furnished and decorated with lots of love and care and has a tranquil atmosphere to it.The room has a real double size Bed, a tv, a small wardrobe and a sideboard for clothing, a tree in front of the windows and a hundred years old japanese painting of the fuji above the bed. You are welcome to use the kitchen and the Washingmaschine. W-Lan, Blankets, Pillows and Towels are there for you. In generally the atmosphere in the whole house is pretty special, since almost all of the neighbours know and like each other and we do enjoy our little chat´s meting at the staircase, doors or streetcorners. The metro stations Hermannplatz/Schönleinstrassse (U7, U8) are a 5 minute walk.","The Flat is located on the 3rd floor in a typical old Berlin Townhouse in the area called Kreuzberg/Neukölln, a lively area with a lot of small bars, cafes, artgallerys and shopping opportunities. Even so it´s located in a lively area the flat itself has a relaxed and tranquil atmosphere. The Flat is located on the 3rd floor in a typical old Berlin Townhouse in the area called Kreuzberg/Neukölln, a lively area with a lot of small bars, cafes, artgallerys and shopping opportunities. The apartment is bright and sunny, furnished and decorated with lots of love and care and has a tranquil atmosphere to it.The room has a real double size Bed, a tv, a small wardrobe and a sideboard for clothing, a tree in front of the windows and a hundred years old japanese painting of the fuji above the bed. You are welcome to use the kitchen and the Washingmaschine. W-Lan, Blankets, Pillows and Towels are there for you. In generally the atmosphere in the whole house is pretty special, since almost all of ",1108996,Alexandra,"Berlin, Berlin, Germany","I am a Choreograher and teacher for contemporary dance, which was and will be always the thing i love to do. Right now,  i mostly teach at different publicschools from the age of 10 up to 18ten, all over berlin.",t,Neukölln,Berlin,Berlin,12047,Berlin,52.49004,13.42697,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,""Pets live on this property"",Dog(s),Heating,Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water""}",172.0,35.0
74,229776,Cosy room in Mitte / Rosenthaler Platz,"Perfect location to explore the center of Berlin! The well-equipped apartment offers a living room with a balcony and a view on the tower of Alexanderplatz, a kitchen, a bathroom with a bath tub to relax after a long day in the city and a room (10m²) with a bed for two to enjoy the night. For all the cat lovers there's free cuddling time with my two cats on top :)","My beautiful DDR Plattenbau appartment is located between Rosenthaler Platz and Hackescher Markt in the heart of the Berlin district Mitte. The appartment has a sunnysided balcony with a beautiful view to green graveyard at the opposite site of the street and you can also see the TV tower. The way to U 8 Rosenthaler Platz is 2 minutes, to S-Bahn station Hackescher Markt it is 6 minutes far away. Total sqm of the flat is 57, Living room, bathroom and kitchen can be used as well. The rented room is 9,5 sqm and has a bed (1,40 m width), a shelf and a rack. Smoking on the balcony is possible. I will be at work at least from 9 am to 6.30 pm as I am working in a PR agency. Bedlinen and towels are provided.","Perfect location to explore the center of Berlin! The well-equipped apartment offers a living room with a balcony and a view on the tower of Alexanderplatz, a kitchen, a bathroom with a bath tub to relax after a long day in the city and a room (10m²) with a bed for two to enjoy the night. For all the cat lovers there's free cuddling time with my two cats on top :) My beautiful DDR Plattenbau appartment is located between Rosenthaler Platz and Hackescher Markt in the heart of the Berlin district Mitte. The appartment has a sunnysided balcony with a beautiful view to green graveyard at the opposite site of the street and you can also see the TV tower. The way to U 8 Rosenthaler Platz is 2 minutes, to S-Bahn station Hackescher Markt it is 6 minutes far away. Total sqm of the flat is 57, Living room, bathroom and kitchen can be used as well. The rented room is 9,5 sqm and has a bed (1,40 m width), a shelf and a rack. Smoking on the balcony is possible. I will be at work at least from 9 am ",956350,Arne,"Berlin, Berlin, Germany","Hey I am Arne and I rent out one of the bedrooms of my charming apartment in the center of Berlin. 
I love meeting new and interesting people from all around the world.
I am running a PR agency for fashion designers and publish a fashion magazine called Œ.",t,Mitte,Berlin,Berlin,10119,Berlin,52.52834,13.40634,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,""Paid parking off premises"",""Pets live on this property"",Cat(s),Heating,Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""No stairs or steps to enter"",""No stairs or steps to enter"",Other}",97.0,46.0
83,252933,Room vibrant but cozy Schoeneberg,"The room is located  5 minutes from the subway station Nollendorfplatz. It is very central, sunny. Restaurants, cafes and bars also nearby. WLAN included in the price.","Welcome to my apartment in the lively but cozy Schöneberg near the subway station Nollendorfplatz. I offer a 25 square meters large room with a comfortable double bed for 2 persons. The room is quiet and sunny, and also has two drawers for your clothes. The 3-room apartment is located on the 6th floor with elevator. The kitchen is fully equipped (including dishwasher, coffee maker and kettle) and can be shared. The bathroom is also shared and has a bath with shower. Wireless Internet is included. Towels and linen are provided. The room is 5 minutes from the subway station Nollendorfplatz and therefore very central. In a few minutes you are on Kurfürstendamm or Potsdamer Platz. In the immediate neighborhood there are several small shops, cafes and restaurants. Right on the corner is an organic supermarket. In Maaßenstraße there are numerous bars and snack bars. On Winterfeldtplatz you find a nice farmer's market. It's just fun to walk here and enjoy the many street cafes. I look forward","The room is located  5 minutes from the subway station Nollendorfplatz. It is very central, sunny. Restaurants, cafes and bars also nearby. WLAN included in the price. Welcome to my apartment in the lively but cozy Schöneberg near the subway station Nollendorfplatz. I offer a 25 square meters large room with a comfortable double bed for 2 persons. The room is quiet and sunny, and also has two drawers for your clothes. The 3-room apartment is located on the 6th floor with elevator. The kitchen is fully equipped (including dishwasher, coffee maker and kettle) and can be shared. The bathroom is also shared and has a bath with shower. Wireless Internet is included. Towels and linen are provided. The room is 5 minutes from the subway station Nollendorfplatz and therefore very central. In a few minutes you are on Kurfürstendamm or Potsdamer Platz. In the immediate neighborhood there are several small shops, cafes and restaurants. Right on the corner is an organic supermarket. In Maaßenstraße",1328204,Jairo,"Berlin, Berlin, Germany","Hallo, ich bin Ferreira Da Silva und komme ursprünglich aus Brasilien, wohne aber schon seit langem in Deutschland. Ich reise selber gerne und freue mich daher über jeden Gast, der internationales Flair in meine Wohnung bringt.",t,Tempelhof - Schöneberg,Berlin,Berlin,10777,Berlin,52.49839,13.35009,Apartment,Private room,1,1.0,2.0,1.0,Real Bed,"{Internet,Wifi,Elevator,""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Hot water"",""Bed linens""}",,80.0
84,253128,Studion Apartment in Kreuzkölln,"Hi,I am renting out my studio apt. Its located in Kreuzkölln, Friedelstraße (5 min from Hermanplatz.)The Apartment has a big living room with a large table, a separate super sweet sleeping room with a three right in front, a bathroom with bathtub and a small kitchen, with washingmachine. Perfect for one Person or a couple. Of course there is Wifi that you can use. Best  Bea","Hi, The apt is located in Kreuzkölln, Friedelstraße (5 min from Hermanplatz.) The Apartment has a big living room with a large table, a separate super sweet sleeping room with a three right in front, a bathroom with bathtub and a small kitchen, with washing machine. Perfect for one Person or a couple. Of course there is Wifi that you can use. If you have any question cantact me by Email:  (Email hidden by Airbnb)  All best Bianca","Hi,I am renting out my studio apt. Its located in Kreuzkölln, Friedelstraße (5 min from Hermanplatz.)The Apartment has a big living room with a large table, a separate super sweet sleeping room with a three right in front, a bathroom with bathtub and a small kitchen, with washingmachine. Perfect for one Person or a couple. Of course there is Wifi that you can use. Best  Bea Hi, The apt is located in Kreuzkölln, Friedelstraße (5 min from Hermanplatz.) The Apartment has a big living room with a large table, a separate super sweet sleeping room with a three right in front, a bathroom with bathtub and a small kitchen, with washing machine. Perfect for one Person or a couple. Of course there is Wifi that you can use. If you have any question cantact me by Email:  (Email hidden by Airbnb)  All best Bianca In the middle of Berlin: Subway Sation: Hermannplatz (2min)  Subway: U7/U8  Bus M (Phone number hidden by Airbnb)",1329012,Bea,"Berlin, Berlin, Germany","Ich liebe es zu verreisen und freue mich über jeden Gast der mir die Welt etwas näher bringt. 
",t,Neukölln,Berlin,Berlin,12047,Berlin,52.49114,13.42831,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",431.0,49.0
96,271340,Central & Homelike Apartment,"Great place in one of the best neighborhoods in Berlin. Very central with Kastanienallee, Alexanderplatz, Hackescher Markt and Friedrichstraße very close by. Perfect to discover Berlin or to just enjoy one of the most exciting areas of the city.","The apartment is on the first floor right in front of the beautiful Arkonaplatz, a quiet park with a famous flea market on sundays. There is one living/sleeping room with a big bed (150x200), a couch, desk and W-Lan. The window faces the quiet & green Arkonaplatz. There is a full equipped kitchen with a table for up to 3 persons and a washing machine, as well as a bathroom with a big shower. The apartment is very central, it's located right next to the Mauerpark (a big park with the best flea market in Berlin on sundays) and the Kastanienallee (a very famous & trendy area with a lot of cafès, bars & boutiques). Brunnenstraße is very close as well with a lot of gallerys of young artists. You can reach Alexanderplatz with the U-Bahn in 5 minutes, the next supermarkt is 100 metres. Please respect that it's a non-smoker apartment. The apartment has available: Full equipped kitchen (without coffee machine) Fast wireless internet connection","Great place in one of the best neighborhoods in Berlin. Very central with Kastanienallee, Alexanderplatz, Hackescher Markt and Friedrichstraße very close by. Perfect to discover Berlin or to just enjoy one of the most exciting areas of the city. The apartment is on the first floor right in front of the beautiful Arkonaplatz, a quiet park with a famous flea market on sundays. There is one living/sleeping room with a big bed (150x200), a couch, desk and W-Lan. The window faces the quiet & green Arkonaplatz. There is a full equipped kitchen with a table for up to 3 persons and a washing machine, as well as a bathroom with a big shower. The apartment is very central, it's located right next to the Mauerpark (a big park with the best flea market in Berlin on sundays) and the Kastanienallee (a very famous & trendy area with a lot of cafès, bars & boutiques). Brunnenstraße is very close as well with a lot of gallerys of young artists. You can reach Alexanderplatz with the U-Bahn in 5 minutes,",1420077,Kai,"Berlin, Berlin, Germany","I am looking forward to meet nice people from all over the world.
If you have any questions regarding your stay at my place in Berlin feel free to contact me.",t,Mitte,Berlin,Berlin,10435,Berlin,52.538709999999995,13.402870000000002,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,Heating,Washer,Essentials,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,Other,""Paid parking on premises""}",,70.0
97,271739,"X-Berg: central, quiet, bright, cosy and large","In the heart of Kreuzberg, two minutes from the international, multi-cultural hustle and bustle of the famous Oranienstrasse, the room is located very quiet at the end of a large apartment with a view over a typical, historic Berlin commercial courtyard (and a chestnut tree). In the neighborhood there is a little farm, so that one may wake up in the morning by the crowing of the rooster. The guests (there is a second guest room) have their own newly renovated large bathroom.","The guest room is 25-m2 in size and is located on a 150-m2 large apartment opposite the guest bathroom. It has a 1.80 m wide bed with new mattress, wardrobe, sofa and a dining table with chairs. It is also equipped with a microwave, a coffee maker, kettle, crockery, coffee, tea, and a small refrigerator, so that you prepare your own meals/breakfast if you want (I don't serve breakfast! :) ) The flat (where the rental room is located) is in a very peaceful neighbourhood, and in the morning guests might even be awakened by a real cock crowing since there is a farm very nearby. Although this is an idyllic setting, the accommodation is actually very close to the authentic Berlin district of Kreuzberg, which is home to the famous street “Oranienstraße” with its numerous bars, restaurants, small terraces and international cuisine. In just a short stroll visitors can reach the famous bars „Sage-Club“, „Kater Holzig“, ""SO36"", ""Berghain"" (20 min walk) and more.","In the heart of Kreuzberg, two minutes from the international, multi-cultural hustle and bustle of the famous Oranienstrasse, the room is located very quiet at the end of a large apartment with a view over a typical, historic Berlin commercial courtyard (and a chestnut tree). In the neighborhood there is a little farm, so that one may wake up in the morning by the crowing of the rooster. The guests (there is a second guest room) have their own newly renovated large bathroom. The guest room is 25-m2 in size and is located on a 150-m2 large apartment opposite the guest bathroom. It has a 1.80 m wide bed with new mattress, wardrobe, sofa and a dining table with chairs. It is also equipped with a microwave, a coffee maker, kettle, crockery, coffee, tea, and a small refrigerator, so that you prepare your own meals/breakfast if you want (I don't serve breakfast! :) ) The flat (where the rental room is located) is in a very peaceful neighbourhood, and in the morning guests might even be awake",1422088,Gabriele,"Berlin, Berlin, Germany","Mein Name ist Gabriele, ich bin Künstlerin, Fotografin, Filmemacherin und lebe seit 35 Jahren in Berlin-Kreuzberg. 
I am an artist working with photography and film, living in Berlin since 35 years.",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10997,Berlin,52.50329,13.42017,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,""Free street parking"",Heating,Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Garden or backyard"",""Luggage dropoff allowed"",""Hot water kettle""}",,40.0
