,Jobs,Company,Location,Description
0,Junior Data Scientist (m/w/d) Medical Devices,Fresenius Medical Care Deutschland GmbH,Berlin,"Unser Bewerbungsprozess läuft standardisiert in vier Stufen ab: (1) Onlinetest, (2) Telefoninterview, (3) Data-Challenge, (4) Persönliches Kennenlernen."
1,(Junior) Data Scientist (m/w/d),4flow,Berlin,4flow * Berlin * Feste Anstellung * Vollzeit - Über uns - 4flow – das sind über 600 Teammitglieder an 15 Standorten weltweit.
2,Physiker/ Mathematiker/ Naturwissenschaftler als Data Warehouse/ ETL-Developer (m/w/d),Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, Leipzig, München, Nürnberg, Stuttgart oder Wien","Du modellierst Datenbanken basierend auf unterschiedlichen Paradigmen (3NF, Data Vault, Star, etc.)"
3,Data Warehouse/ ETL-Developer (m/w/d),Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, Leipzig, München, Nürnberg, Stuttgart oder Wien","Modellierung von technischen Datenbankmodellen basierend auf unterschiedlichen Modellierungsparadigmen (3NF, Data Vault, Star, etc.) * Erfahrung in der Modellierung mit dem Data Vault Paradigma von Vorteil"
4,Junior Berater Prozess- und Datenintegration (w/m/d),itelligence AG,"Berlin, Bielefeld, Dortmund, Göttingen, Heidelberg, Hamburg, Jena, Köln, München, Oldenburg, Pforzh",Als Teil der NTT DATA Gruppe sind wir auf wertschöpfende SAP-Lösungen für unsere weltweiten Kunden spezialisiert.
5,Junior Berater Business Intelligence / Ab Initio (m/w/d),Sopra Steria SE,"Alle Standorte, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München",Studienerfahrungen oder erste Projekterfahrung im Datenmanagement oder Data Warehousing
6,(Junior) BI Developer*,RatePAY GmbH,Berlin,Als (Junior-)BI Developer* bist du für die Entwicklung und den Betrieb der Self-Service-Analytics-Plattform von RatePAY verantwortlich.
7,Junior HR Digital Operations Analyst (f/m/d) – HR Services DACH,Schneider Electric GmbH,Berlin,As our Junior HR Digital Operations Analyst HRS DACH (f/m/d) are helping us to build the bridge between local HR processes and global digital solutions.
8,Data Engineer (m/f/x),plista GmbH,Berlin,"plista is a global platform for data-driven native advertising in premium editorial environments and offers advertisers and publishers direct, single-source access to a broad portfolio of native solutions."
9,"Junior Consultant BI, Big Data, IoT (m/w/d)",msg systems ag,"Köln, Berlin, Bretten, Düsseldorf, Essen, Frankfurt/M., Hamburg, Köln, München, Stuttgart","Bei der fachlichen und technischen Beratung für Business Intelligence, Big Data, Big Data Analytics sowie IoT, Master Data Management und Data Quality Management bieten wir spannende und anspruchsvolle Aufgaben."
10,Data Warehouse Engineer (m/f/d),tausendkind GmbH,Berlin,You will act as the go-to data and performance expert in our business intelligence team to support new projects
11,(Junior) Business Consultant für Enterprise Performance Management / Business Intelligence (m/w/d),msg systems ag,"Köln, Berlin, Braunschweig, Chemnitz, Düsseldorf, Essen, Frankfurt/M., Hamburg, Hannover, Köln","msg systems ag * Köln, Berlin, Braunschweig, Chemnitz, Düsseldorf, Essen, Frankfurt/M., Hamburg, Hannover, Köln * Feste Anstellung * Vollzeit - Sind Sie erst zufrieden, wenn alle Systeme und Prozesse rund laufen?"
12,Manager (f/m/d) Data Scientist with SAP background - Assurance Digital Center,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Hamburg, Düsseldorf, Berlin, Munich, Stuttgart, Frankfurt","Creatively and innovatively extracting data from SAP client systems but also from other systems (e.g. Oracle, JD Edwards)"
13,Business Analyst (m/f/x),Aurora Europe GmbH,Berlin,Supports data driven decision-making by gathering key information and building reports that effectively communicate complex topics to a variety of audiences
14,Junior Accounting Manager (m/w/d) für McFIT Models,RSG Group GmbH,Berlin,RSG Group GmbH * Berlin * Feste Anstellung * Vollzeit - Die RSG Group ist mit mehr als 2 Millionen Kunden der weltweite Innovationsführer in den Bereichen Fitness und Lifestyle. Mittlerweile sind wir in 48 Ländern aktiv.
15,Business Intelligence Developer / Data Engineer (m/f/d),KW-Commerce GmbH,Berlin,"As Business Intelligence Developer/Data Engineer (m/f/d) you will play a crucial part in our agile, interdisciplinary and growing BI team, that ensures the further development of our internal solutions."
16,(Junior) Data Analyst (w/m/d),Imperial Logistics International B.V. & Co. KG,Berlin oder Neufahrn bei Freising,Für unseren Bereich IT am Standort Berlin oder Neufahrn bei Freising suchen wir Sie zum frühestmöglichen Zeitpunkt unbefristet in Vollzeit als (Junior) Data Analyst (w/m/d) * Gute Kenntnisse der BI- und Data Warehouse-Standards
17,Data- / Business Intelligence Analyst (w/m/d),DB Zeitarbeit GmbH,Berlin,DB Zeitarbeit GmbH * Berlin * Arbeitnehmerüberlassung * Vollzeit - Als 100%ige Tochter ist die DB Zeitarbeit Dein Sprungbrett zur Deutschen Bahn.
18,Business Intelligence Analyst (m/f/d),KW-Commerce GmbH,Berlin,"You will be responsible for transforming our data into actionable insights. * Active involvement in the establishment of a modern, data-driven and self-service-oriented culture in the company by creating, ..."
19,Junior Consultant Business Intelligence (Mensch*),ConVista Consulting AG,"Köln, München, Berlin, Mannheim",Entwicklung von Schnittstellen zur Bereitstellung von Daten aus unterschiedlichen operativen Systemen im Data Warehouse
20,Junior Business Intelligence Developer (m/w/d) Schwerpunkt IBM Cognos,NEW YORKER,"Berlin,Braunschweig","Dazu zählen u. a. die Analyse und Umsetzung von analytischen Modellen (z. B. Data Mining), aber auch der Aufbau und die Standardisierung von professionellen Reports und Workflows über alle beteiligten Fachabteilungen hinweg."
21,(Junior) Data Engineer/Analyst (m/w/d) Programmatic Advertising,Media Impact GmbH & Co. KG,Berlin,"Als Data & Programmatic Team sind wir Teil der Axel Springer Tochter Media Impact, dem Vermarkter der führenden deutschen Medienseiten (Bild.de, Welt.de, Finanzen.net, BusinessInsider.de etc.)."
22,Business Analyst (m/f/d) - Berlin,Lieferando.de/Takeaway.com,Berlin,We are seeking a hands-on data analyst with proven analytical knowledge and coding experience who is ready to use his extraordinary skill-set to crack the day-to-day challenges of a last-mile-delivery business.
23,Financial Analyst / Manager Corporate Business Analytics & Intelligence (m/f/d),Biotronik SE & Co. KG,Berlin,Presentation and distribution of market data
24,Big Data Analyst (m/w/d),ESE Engineering und Software-Entwicklung GmbH,Region Berlin,Durch moderne Ansätze zur Analyse von Daten großer Industrieanlagen und der Erarbeitung einer Big Data Infrastruktur schaffen Sie Optimierungspotenziale im Energiesektor und treiben die Nachhaltige ...
25,Analyst / Consultant (m/w/d) Digital Product Lifecycle,BearingPoint GmbH,"Hamburg, Berlin, Düsseldorf, Frankfurt am Main, Stuttgart, München, Walldorf","BearingPoint GmbH * Hamburg, Berlin, Düsseldorf, Frankfurt am Main, Stuttgart, München, Walldorf * Feste Anstellung * Vollzeit - Design your own career. Make your point @ BearingPoint."
26,Analyst (m/w/d) Data Excellence in Operations / Automotive,BearingPoint GmbH,"Hamburg, Frankfurt am Main, Düsseldorf, Stuttgart, Berlin, München, Walldorf","Unterstützung bei der fachlichen und technischen Weiterentwicklung unserer Master Data Management Lösungen * Erste Kenntnisse auf den Gebieten Master Data Management, agile Softwareentwicklung oder Datenbanken"
27,Data Engineer (m/w/d) for Central Banks,BearingPoint GmbH,"Frankfurt am Main, München, Stuttgart, Walldorf, Hamburg, Berlin, Düsseldorf","Unterstützung unserer Kunden im Data Management, Data Engineering und Data Science"
28,Werkstudent / Praktikant Business Analyst (w/m/x),Fritz & Sehr Mittelstandsnachfolge UG (haftungsbeschränkt),Berlin,"Fritz & Sehr Mittelstandsnachfolge UG (haftungsbeschränkt) * Berlin * Praktikum,Studentenjobs, Werkstudent * Teilzeit,Vollzeit - Wer sind wir?"
29,Customer Data Scientist (m/w/d),msg systems ag,"Köln Berlin Düsseldorf Essen Frankfurt/M. Hamburg Hannover München Stuttgart, Deutschlandwei","Projekterfahrung als Data Scientist * Entwicklung innovativer Customer Data Strategien für den Kunden * Erfahrung in den Bereichen Big Data und Advanced Analytics, Data Mining, R, SAS sowie ..."
30,Wirtschaftswissenschaftler/in / Mathematiker/in / Statistiker/in (m/w/d),ABDA – BUNDESVEREINIGUNG DEUTSCHER APOTHEKERVERBÄNDE e.V.,Berlin,ABDA – BUNDESVEREINIGUNG DEUTSCHER APOTHEKERVERBÄNDE e.V. * Berlin * Feste Anstellung * Vollzeit - Wir sind die Spitzenorganisation der Apothekerinnen und Apotheker in Deutschland.
31,(Senior) Big Data Engineer (m/w/d),adesso AG,"Dortmund, Aachen, Berlin, Essen, Frankfurt, Hamburg, Karlsruhe, Köln, München, Nürnberg, Stuttgart",Gestalten Sie gemeinsam mit uns die Line of Business Data & Analytics. Das Competence Center Business & Big Data Engineering ist verantwortlich für die Umsetzung komplexer Big Data Projekte für unsere namhaften Kunden.
32,Business Analyst Firmenkundengeschäft Sparkassen-Finanzgruppe (m/w/d),Sopra Steria SE,"Bundesweit, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München","Sopra Steria SE * bundesweit, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München * Feste Anstellung * Vollzeit - Sopra Steria Consulting zählt zu den Top Management- und Technologieberatungen in Deutschland."
33,Data Scientist / Analyst IT (m/w) Audit Center of Competence,KPMG AG Wirtschaftsprüfungsgesellschaft,Berlin,Mehrjährige Berufserfahrung als Data Analyst oder Data Scientist von Vorteil
34,(Senior) Consultant (w/m/d) Data Scientist - Supply Chain & Operations Advisory,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Düsseldorf, München, Stuttgart, Berlin, Köln, Mannheim, Frankfurt am Main","Analyse von Big Data mit statistischen und mathematischen Methoden und Analytics Tools * Abgeschlossenes Masterstudium in einer quantitativen Disziplin (Mathematik, Physik, Informatik, Statistik, Ing.-Wissenschaften) und ..."
35,Data & Analytics Business Engineer (m/w/d),adesso AG,"Aachen, Berlin, Dortmund, Essen, Frankfurt, Köln, München, Nürnberg, Stuttgart, Hamburg, Karlsruhe",Gestalten Sie gemeinsam mit uns die Line of Business Data & Analytics. * Requirements Engineering/Business Analyse und Stakeholdermanagement in spannenden Data & Analytics Projekten
36,"Senior Consultant (w/m/d) Data Analytics - Valuation, Modelling & Economics",Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,Berlin,"Erstellung von multidimensionalen Finanzmodellen und Lösungen im Bereich Data Analytics um unseren Kunden Handlungsoptionen aufzuzeigen (im Kontext von Unternehmenstransaktionen, über strukturierten ..."
37,Business Intelligence Expert / Branche Banking (m/w/d),msg systems ag,"Bretten, Berlin, Bretten, Frankfurt a.M., Köln, München, Münster, Passau, Stuttgart","Entwicklung von Data Governance Lösungen (Datenqualitätslösungen, Metadatenlösungen etc.)"
38,Data Scientist Insurance (m/w/d),Sopra Steria SE,"Bundesweit, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München","Mindestens 2 Jahre Methodenkenntnisse in den Bereichen Statistik, Data Mining, Predictive Analytics und / oder Machine / Deep Learning, Computer Vision und NLP"
39,Business Analyst Public Sector Defense Consulting (m/w/d),msg systems ag,"Hamburg, Berlin, Köln, Schortens","msg systems ag * Hamburg, Berlin, Köln, Schortens * Feste Anstellung * Vollzeit - Sie suchen Aufgaben mit gesellschaftlicher Relevanz? Sie möchten moderne und sichere Systeme für Millionen von Menschen erschaffen?"
40,Business Analyst (m/w/d) / Controller (m/w/d)in Voll-/Teilzeit,Drees & Sommer Berlin GmbH,Berlin,"Drees & Sommer Berlin GmbH * Berlin * Feste Anstellung * Teilzeit,Vollzeit - Als führendes europäisches Beratungs-, Planungs- und Projektmanagementunternehmen begleitet Drees & Sommer private und öffentliche Bauherren sowie ..."
41,(Senior) Consultant (m/w/d) Analytics & Information Management – Big Data Solution Architect (m/w/d),Deloitte,"Stuttgart, Walldorf, München, Berlin, Hamburg, Frankfurt, Hannover, Düsseldorf, Köln","Deloitte (Senior) Consultant (m/w/d) Analytics & – Big Data Solution Architect (m/w/d) Das Deloitte Analytics & Team berät weltweit führende Unternehmen bei Themen wie Daten-Strategien, Big Data, Advanced ..."
42,IT-Consultant / Business-Analyst (m/w/d),PTA GmbH,Berlin Dresden Düsseldorf Frankfurt Hamburg Karlsruhe Kassel Köln Mannheim München Stuttgart,PTA GmbH * Berlin Dresden Düsseldorf Frankfurt Hamburg Karlsruhe Kassel Köln Mannheim München Stuttgart * Feste Anstellung * Vollzeit
43,Data Engineer (m/w/d),Sparkassen Rating und Risikosysteme GmbH,Berlin,"Wir unterstützen den Vertrieb der Institute mit einheitlichen Data-Analytics-Lösungen. * Hochperformante Datenmanagementprozesse (ETL-Prozesse, Data Warehouses, Business Intelligence) konzeptionieren, ..."
44,Business Analyst (m/w/d) Consulting – Supply Chain Management mit SAP,Deloitte,"Berlin, Düsseldorf, Frankfurt, Hamburg, Stuttgart, München","Deloitte * Berlin, Düsseldorf, Frankfurt, Hamburg, Stuttgart, München * Feste Anstellung * Vollzeit - Job Nummer: 281 - Standort: Berlin, Düsseldorf, Frankfurt, Hamburg, Stuttgart, München - Making an impact that matters."
45,Manager Data Science (w/m/d),Deutsche Bahn AG,"Berlin, Frankfurt am Main oder München","Zum nächstmöglichen Zeitpunkt suchen wir Dich als Manager Data Science für die Deutsche Bahn AG am Standort Berlin, Frankfurt am Main oder München."
46,Data Architect Business Intelligence & Data Warehouse (m/w/d),Sopra Steria SE,"Bundesweit, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München","Sehr gute Kenntnisse in folgenden Data Warehouse -Technologien: Oracle, Informatica Power Center, SQL"
47,Data Scientist (m/w/d) – Vertriebsmodelle,Sparkassen Rating und Risikosysteme GmbH,Berlin,"Als Data Scientist führen Sie komplexe (Daten-) Analysen (bspw. Affinitäten, Churn, Next Best Action) durch und interpretieren diese im vertrieblichen Kontext"
48,Data Analysis und Machine Learning Solutions Engineer / Scientist (m/w/d),Fixemer Logistics GmbH,"Perl-Borg, Berlin",Wir suchen für unsere Standorte in D-12055 Berlin und unsere Zentrale in D-66706 Perl-Borg einen Data Analysis und Machine Learning Solutions Engineer / Scientist (m/w/d).
49,Senior Consultant (w/m/d) Microsoft Cloud Architect - Data & Analytics,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Hamburg, München, Berlin, Düsseldorf, Stuttgart, Köln oder Frankfurt/Main","Als Teil unseres Teams Data & Analytics mit Schwerpunkt Microsoft in Hamburg, München, Berlin, Düsseldorf, Stuttgart, Köln oder Frankfurt/Main konzeptionieren, gestalten und entwickeln Sie Cloud-Infrastrukturen."
50,Data Scientist Advanced Analytics (m/w/d) Public Sector,Sopra Steria SE,"Bundesweit, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München","Zielgerichtete Informationsgewinnung aus Big Data mittels Data Mining, Text Mining und Ökonometrie"
51,Senior Consultant (w/m/d) Microsoft Data Engineer / Architect - Data & Analytics,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Hamburg, München, Berlin, Düsseldorf, Stuttgart, Köln oder Frankfurt/Main","Als Teil unseres Teams Data & Analytics mit Schwerpunkt Microsoft in Hamburg, München, Berlin, Düsseldorf, Stuttgart, Köln oder Frankfurt/Main konzeptionieren, gestalten und entwickeln Sie Datenmanagement-Prozesse."
52,ETL/Data Integration Developer (m/d/w),Verlag Walter de Gruyter GmbH,Berlin,"Verlag Walter de Gruyter GmbH * Berlin * Feste Anstellung * Vollzeit - Seit 270 Jahren finden, veröffentlichen und vertreiben wir bei De Gruyter (sprich: [də ˈgʁɔʏ̯tɐ]) die Werke von Wissenschaftspionieren."
53,Trainer (m/w/d) für R - Statistik und Datenanalyse,WBS GRUPPE,Berlin (Home-Office),Berlin (Home-Office) * Freie Mitarbeit/Projektmitarbeit * Vollzeit - Die WBS GRUPPE gehört zu den führenden privaten Bildungsanbietern in Deutschland.
54,Consultant (w/m/d) Forensic Data Analytics & Science,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Berlin, Frankfurt/Main oder Stuttgart","Ausarbeitung und Implementierung von Ideen zum Data Mining, insbesondere zu Cluster-Algorithmen und Outlier Detection sowie Predictive Analytics, und Entwicklung neuer Tools und Solutions, um unser ..."
