,Title,Uploaded,Watch_Counts,Description,Link
0,Berge - Für die Liebe (Unplugged),1 年前,"觀看次數：2,999,193次","Das neue Berge Album ""Für die Liebe"" ist ab jetzt überall erhältlich. Als CD, LP, Download und Stream: ...",https://www.youtube.com/watch?v=GAhWN9zmEV0
1,Berge - Mein Lied (Offizielles Musikvideo),2 個月前,"觀看次數：229,689次","Mein Lied' und das Album ,Für die Liebe' zum Vorbestellen gibt es hier: https://berge.lnk.to/MeinLiedYo Tickets für die Tour im ...",https://www.youtube.com/watch?v=OGm3j3Qbipc
2,🌟 Sander Berge 2018 ● Skills & Passes ● Genk,12 個月前,"觀看次數：18,959次","Video of Sander Berge and his Dribbling Skills, Goals, Assists & Passes in 2018 Genk. Subscribe & Like.",https://www.youtube.com/watch?v=K9RJ0MG765E
3,Berge - Trau Dich (Offizielles Video),2 週前,"觀看次數：72,523次","""Trau Dich"" findest Du auch auf unserem neuen Album ""Für die Liebe"": https://berge.lnk.to/FuerDieLiebeAlbumYo Tickets für die ...",https://www.youtube.com/watch?v=HCdnECKWIZ8
4,Berge - Wir sind frei (Videoclip),3 年前,"觀看次數：209,260次",Offizielles Video zu 'Wir sind frei' von Berge Hier gibts das Album 'Vor uns die Sinnflut': https://lnk.to/Berge_VorUnsDieSinnflut ...,https://www.youtube.com/watch?v=pZ7HyHKkuuI
5,"Sander Berge ● Norwegian Prodigy 🇳🇴 ● Skills, Tackles & Passes",2 天前,"觀看次數：2,853次","Sander Berge Norway, Sander Berge Norge, Sander Berge Genk 2019/20, Sander Berge 2019/2020 *If you have anything ...",https://www.youtube.com/watch?v=YOATofM0U5U
6,Berge - Dafür lasst uns streiten (Charlie Chaplin) (Live im Kesselhaus Berlin),3 年前,"觀看次數：228,212次","Die neue Single ,Mein Lied' und das Album ,Für die Liebe' zum Vorbestellen gibt es hier: https://berge.lnk.to/MeinLiedYo Tickets ...",https://www.youtube.com/watch?v=x_Z1aELLaYw
7,Julia Engelmann - Das Lied (Official Video),11 個月前,"觀看次數：873,351次",Mein Debütalbum „POESIEALBUM“ könnt Ihr hier streamen & downloaden: http://www.juliaengelmann.de Folge Julia Engelmann: ...,https://www.youtube.com/watch?v=yTaqfFrWF4I
8,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",1 年前,"觀看次數：54,119,780次","Das neue LEA-Album ""Zwischen meinen Zeilen"" hier bestellen: https://lea.lnk.to/ZwischenMeinenZeilen Den neuen Song von ...",https://www.youtube.com/watch?v=b3cU182bGfQ
9,SANDER BERGE | Genk | Ultimate Passing & Skills | 2016/2017  (HD),2 年前,"觀看次數：62,364次",Sander Berge - Genk - 2016/2017 ➠ World Of Football Subscribe : http://bit.ly/1S00BeT | 2nd channel : http://bit.ly/1LQmGvz ...,https://www.youtube.com/watch?v=ntU9OhalqLs
10,Berge - 10.000 Tränen (Live im RAW Berlin),5 年前,"觀看次數：5,208,711次","Das neue Berge Album ""Für die Liebe"" ist ab jetzt überall erhältlich. Als CD, LP, Download und Stream: ...",https://www.youtube.com/watch?v=IS_mantk3tA
11,Berge - Glück,3 年前,"觀看次數：202,232次",Offizielles Video zu 'Glück' von Berge Hier gibts das Album 'Vor uns die Sinnflut': https://lnk.to/Berge_VorUnsDieSinnflut ...,https://www.youtube.com/watch?v=Zkh0IDmWxbk
12,Berge - Meer aus Farben (Offizielles Video),7 年前,"觀看次數：573,785次","Die neue Single ,Mein Lied' und das Album ,Für die Liebe' zum Vorbestellen gibt es hier: https://berge.lnk.to/MeinLiedYo Tickets ...",https://www.youtube.com/watch?v=7rHWnRHd3lg
13,BERGE-BOHATE 3 LUCU BANGET,2 年前,"觀看次數：22,738次",Nan,https://www.youtube.com/watch?v=8mIpQs233hQ
14,Berge - Kreise aus Licht - Tour Trailer 2019,7 個月前,"觀看次數：7,723次","NEUE TERMINE: http://bit.ly/kreiseauslichttour Mo., 9. Sep. 2019 Hamburg, Fabrik Di., 10. Sep. 2019 Essen, Zeche Carl Mi., 11.",https://www.youtube.com/watch?v=RTkGOGrOfeQ
15,Berge - Ich bin hier (acoustic Clip),4 年前,"觀看次數：181,888次",Akustik-Video zu 'Ich bin hier' von Berge Hier gibts das Album 'Vor uns die Sinnflut': https://lnk.to/Berge_VorUnsDieSinnflut ...,https://www.youtube.com/watch?v=KWjv4Jl0SHY
16,PAIUTE BERGE - ONA,2 年前,"觀看次數：431,691次",VIZUÁL:JACOB DUB: https://www.facebook.com/Jacobakapollux?fref=ts&__nodl FACEBOOK: https://www.facebook.com/KushSni ...,https://www.youtube.com/watch?v=gFaUYTfPvTk
17,"Berge Bureya, SMIT tugboats and KRVE boatmen at the Port of Rotterdam.",6 年前,"觀看次數：351,483次","Deep draught bulkcarrier Berge Bureya arriving at Rotterdam Europoort EECV terminal, March 27th 2013. Harbour tugboats Smit ...",https://www.youtube.com/watch?v=c8LuwE6eDrs
18,Berge - Du kannst dein Himmel sein (acoustic Clip),3 年前,"觀看次數：638,976次",Akustik-Video zu 'Du kannst dein Himmel sein' von Berge Hier gibts das Album 'Vor uns die Sinnflut': ...,https://www.youtube.com/watch?v=Qjt_atFP0IE
