,Unnamed: 0,Title,Uploaded,Watch_Counts,Description,Link,Img_URL
0,0,Berge - Für die Liebe (Unplugged),1 年前,"觀看次數：2,999,193次","Das neue Berge Album ""Für die Liebe"" ist ab jetzt überall erhältlich. Als CD, LP, Download und Stream: ...",https://www.youtube.com/watch?v=GAhWN9zmEV0,https://i.ytimg.com/vi/jff1KNRhtZo/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBHp-CWkhpyiSuHrdsmc9jY9XPQNg
1,1,Berge - Mein Lied (Offizielles Musikvideo),2 個月前,"觀看次數：229,689次","Mein Lied' und das Album ,Für die Liebe' zum Vorbestellen gibt es hier: https://berge.lnk.to/MeinLiedYo Tickets für die Tour im ...",https://www.youtube.com/watch?v=OGm3j3Qbipc,https://i.ytimg.com/vi/GAhWN9zmEV0/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBaQ2clK5PH4qRppWrYkaNKvoHbaQ
2,2,🌟 Sander Berge 2018 ● Skills & Passes ● Genk,12 個月前,"觀看次數：18,959次","Video of Sander Berge and his Dribbling Skills, Goals, Assists & Passes in 2018 Genk. Subscribe & Like.",https://www.youtube.com/watch?v=K9RJ0MG765E,https://i.ytimg.com/vi/OGm3j3Qbipc/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBx19yQU00p1AxODiUylUfZEExudQ
3,3,Berge - Trau Dich (Offizielles Video),2 週前,"觀看次數：72,523次","""Trau Dich"" findest Du auch auf unserem neuen Album ""Für die Liebe"": https://berge.lnk.to/FuerDieLiebeAlbumYo Tickets für die ...",https://www.youtube.com/watch?v=HCdnECKWIZ8,https://i.ytimg.com/vi/HCdnECKWIZ8/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDNJnQemaJk6IrbKLGW5wh46qogaw
4,4,Berge - Wir sind frei (Videoclip),3 年前,"觀看次數：209,260次",Offizielles Video zu 'Wir sind frei' von Berge Hier gibts das Album 'Vor uns die Sinnflut': https://lnk.to/Berge_VorUnsDieSinnflut ...,https://www.youtube.com/watch?v=pZ7HyHKkuuI,https://i.ytimg.com/vi/pZ7HyHKkuuI/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBAJvcy787B_NSzPwu6VeNqxO5opw
5,5,"Sander Berge ● Norwegian Prodigy 🇳🇴 ● Skills, Tackles & Passes",2 天前,"觀看次數：2,853次","Sander Berge Norway, Sander Berge Norge, Sander Berge Genk 2019/20, Sander Berge 2019/2020 *If you have anything ...",https://www.youtube.com/watch?v=YOATofM0U5U,https://i.ytimg.com/vi/YOATofM0U5U/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAHV16zhevH6M_9MIL1sX8scPX_nw
6,6,Berge - Dafür lasst uns streiten (Charlie Chaplin) (Live im Kesselhaus Berlin),3 年前,"觀看次數：228,212次","Die neue Single ,Mein Lied' und das Album ,Für die Liebe' zum Vorbestellen gibt es hier: https://berge.lnk.to/MeinLiedYo Tickets ...",https://www.youtube.com/watch?v=x_Z1aELLaYw,https://i.ytimg.com/vi/K9RJ0MG765E/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBkVOvRx-TWPl4IXs6IhrIB_TxwZg
7,7,Julia Engelmann - Das Lied (Official Video),11 個月前,"觀看次數：873,351次",Mein Debütalbum „POESIEALBUM“ könnt Ihr hier streamen & downloaden: http://www.juliaengelmann.de Folge Julia Engelmann: ...,https://www.youtube.com/watch?v=yTaqfFrWF4I,https://i.ytimg.com/vi/ntU9OhalqLs/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAM7vugXkrLVDvzJ29XZTVEmgDaRA
8,8,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",1 年前,"觀看次數：54,119,780次","Das neue LEA-Album ""Zwischen meinen Zeilen"" hier bestellen: https://lea.lnk.to/ZwischenMeinenZeilen Den neuen Song von ...",https://www.youtube.com/watch?v=b3cU182bGfQ,https://i.ytimg.com/vi/gFaUYTfPvTk/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLB7aFbZWscr9Ev_TpL0XKnb0l3Pxw
9,9,SANDER BERGE | Genk | Ultimate Passing & Skills | 2016/2017  (HD),2 年前,"觀看次數：62,364次",Sander Berge - Genk - 2016/2017 ➠ World Of Football Subscribe : http://bit.ly/1S00BeT | 2nd channel : http://bit.ly/1LQmGvz ...,https://www.youtube.com/watch?v=ntU9OhalqLs,https://i.ytimg.com/vi/31Lqo6EO-2Y/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBrgdxk5hxM0MqKU4ndT-det6Bbyw
